name,value,date
Java,26.49,2001-05-30
Java,25.03,2001-06-30
Java,24.66,2001-07-30
Java,24.82,2001-08-28
Java,25.68,2001-09-26
Java,24.37,2001-10-28
Java,24.20,2001-11-31
Java,24.06,2002-00-30
Java,24.01,2002-01-27
Java,24.41,2002-02-29
Java,25.05,2002-03-29
Java,25.19,2002-04-29
Java,24.20,2002-05-29
Java,24.53,2002-06-31
Java,22.89,2002-07-29
Java,24.48,2002-08-29
Java,24.20,2002-09-30
Java,24.12,2002-10-29
Java,24.23,2002-11-31
Java,24.79,2003-00-31
Java,24.78,2003-01-28
Java,24.60,2003-02-31
Java,24.66,2003-03-30
Java,23.11,2003-04-30
Java,22.34,2003-05-30
Java,23.21,2003-06-31
Java,22.24,2003-07-31
Java,21.90,2003-08-30
Java,23.08,2003-09-31
Java,25.01,2003-10-30
Java,23.57,2003-11-31
Java,22.56,2004-00-31
Java,23.17,2004-01-29
Java,24.24,2004-02-31
Java,18.69,2004-03-30
Java,17.54,2004-04-30
Java,17.05,2004-05-30
Java,17.00,2004-06-31
Java,15.90,2004-07-30
Java,17.05,2004-08-30
Java,14.80,2004-09-31
Java,16.33,2004-10-30
Java,17.48,2004-11-31
Java,18.34,2005-00-31
Java,18.87,2005-01-28
Java,16.98,2005-02-31
Java,17.40,2005-03-30
Java,18.57,2005-04-31
Java,19.66,2005-05-30
Java,21.21,2005-06-31
Java,22.44,2005-07-31
Java,21.87,2005-08-30
Java,22.13,2005-11-03
Java,22.25,2006-00-04
Java,22.43,2006-01-02
Java,21.89,2006-02-01
Java,21.28,2006-03-02
Java,21.32,2006-04-01
Java,21.13,2006-05-01
Java,21.85,2006-06-02
Java,22.38,2006-07-02
Java,21.53,2006-08-02
Java,21.17,2006-09-01
Java,20.40,2006-10-02
Java,19.91,2006-11-01
Java,19.16,2007-00-02
Java,18.98,2007-01-03
Java,18.04,2007-02-03
Java,18.36,2007-03-01
Java,19.14,2007-04-05
Java,20.03,2007-05-02
Java,21.01,2007-06-02
Java,21.77,2007-07-05
Java,21.70,2007-08-02
Java,21.62,2007-09-04
Java,20.54,2007-10-04
Java,20.05,2007-11-03
Java,20.85,2008-00-03
Java,21.48,2008-01-07
Java,20.89,2008-05-01
Java,21.34,2008-06-02
Java,21.57,2008-07-03
Java,20.71,2008-08-03
Java,20.95,2008-09-06
Java,20.30,2008-10-02
Java,17.92,2008-11-03
Java,19.02,2009-00-02
Java,19.40,2009-01-01
Java,19.80,2009-02-05
Java,19.34,2009-03-07
Java,19.54,2009-04-01
Java,20.15,2009-05-04
Java,20.45,2009-06-02
Java,19.53,2009-07-01
Java,19.38,2009-08-05
Java,18.65,2009-09-02
Java,18.37,2009-10-02
Java,17.06,2009-11-02
Java,17.48,2010-00-05
Java,17.35,2010-01-07
Java,17.51,2010-02-07
Java,18.05,2010-03-05
Java,17.96,2010-04-15
Java,18.67,2010-06-06
Java,17.99,2010-06-30
Java,17.92,2010-08-11
Java,18.17,2010-09-02
Java,18.51,2010-10-03
Java,18.00,2010-11-07
Java,17.77,2011-00-02
Java,18.48,2011-01-08
Java,19.71,2011-02-08
Java,19.04,2011-03-03
Java,18.16,2011-04-02
Java,18.58,2011-05-05
Java,18.58,2011-05-27
Java,19.25,2011-06-08
Java,19.41,2011-07-03
Java,18.76,2011-08-10
Java,17.91,2011-09-09
Java,17.87,2011-10-07
Java,17.56,2011-11-04
Java,17.47,2012-00-08
Java,17.05,2012-01-05
Java,17.11,2012-02-11
Java,17.03,2012-03-08
Java,16.60,2012-04-09
Java,16.26,2012-05-10
Java,16.09,2012-06-04
Java,16.35,2012-07-10
Java,16.27,2012-08-02
Java,17.19,2012-09-05
Java,17.46,2012-10-04
Java,17.57,2012-11-02
Java,17.42,2013-00-05
Java,18.39,2013-01-08
Java,18.16,2013-02-11
Java,17.68,2013-03-07
Java,16.91,2013-04-08
Java,16.66,2013-05-09
Java,15.91,2013-06-07
Java,15.91,2013-06-12
Java,15.98,2013-07-04
Java,16.15,2013-08-11
Java,16.11,2013-09-10
Java,16.52,2013-10-09
Java,17.31,2013-11-06
Java,16.52,2014-00-01
Java,17.32,2014-01-08
Java,16.41,2014-02-03
Java,17.35,2014-03-10
Java,16.91,2014-04-07
Java,16.11,2014-05-08
Java,15.69,2014-06-06
Java,14.98,2014-07-11
Java,14.14,2014-08-01
Java,13.51,2014-09-03
Java,14.39,2014-10-08
Java,14.96,2014-11-07
Java,15.53,2015-00-06
Java,15.34,2015-01-05
Java,15.58,2015-02-07
Java,16.04,2015-03-13
Java,16.87,2015-04-13
Java,17.82,2015-05-06
Java,17.73,2015-06-12
Java,19.27,2015-07-06
Java,19.56,2015-08-05
Java,19.54,2015-09-04
Java,20.40,2015-10-07
Java,20.97,2015-11-04
Java,21.47,2016-00-02
Java,21.14,2016-01-02
Java,20.53,2016-02-03
Java,20.85,2016-03-07
Java,20.96,2016-04-06
Java,20.79,2016-05-05
Java,19.80,2016-06-04
Java,19.01,2016-07-06
Java,18.24,2016-08-08
Java,18.80,2016-09-07
Java,18.75,2016-10-05
Java,17.86,2016-11-04
Java,17.28,2017-00-07
Java,16.68,2017-01-08
Java,16.38,2017-02-07
Java,15.57,2017-03-09
Java,14.64,2017-04-06
Java,14.49,2017-05-03
Java,13.77,2017-06-07
Java,12.96,2017-07-02
Java,12.69,2017-08-06
Java,12.43,2017-09-05
Java,13.23,2017-10-12
Java,13.27,2017-11-09
Java,14.22,2018-00-03
Java,14.99,2018-01-08
Java,14.94,2018-02-07
